tau,w_EE,w_EI,w_IE,beta,theta_E,theta_I
0.016400715336203575,3.0462472438812256,9.999794960021973,5.480983734130859,6.001084327697754,3.714393377304077,-4.545866012573242
0.016650013625621796,2.9213576316833496,8.413910865783691,6.7499213218688965,9.05141544342041,4.9446821212768555,-2.161900758743286
0.016814477741718292,2.6696975231170654,8.73315143585205,8.492619514465332,4.125905513763428,0.2841499149799347,-2.433910608291626
0.016653090715408325,4.201338291168213,9.570808410644531,8.730499267578125,8.579570770263672,0.5736467242240906,-1.9162088632583618
0.01676744595170021,9.756251335144043,9.09521770477295,8.892243385314941,3.829148054122925,0.41413167119026184,-6.728018283843994
0.016721567139029503,3.19572377204895,9.030684471130371,4.66120719909668,5.221127986907959,0.3952135741710663,-1.4327964782714844
0.01675143465399742,7.302248001098633,4.325146675109863,9.095603942871094,9.059574127197266,2.8546440601348877,-2.751875400543213
0.016739072278141975,7.976310729980469,9.773950576782227,9.59848690032959,9.381062507629395,2.700047731399536,-7.2103471755981445
0.016083676367998123,5.035434722900391,8.524711608886719,7.897162437438965,5.776031017303467,4.189413070678711,-3.3573238849639893
0.016736911609768867,4.183049201965332,8.237408638000488,5.374443531036377,9.207364082336426,0.6479076743125916,-0.22090968489646912
0.01680571958422661,9.538711547851562,9.905451774597168,9.825277328491211,2.0574309825897217,2.8171520233154297,-1.0268319845199585
0.0164737980812788,3.4935882091522217,3.7841603755950928,7.432168483734131,7.5450520515441895,0.5627138018608093,-0.815975546836853
0.016523340716958046,5.432121276855469,3.8098607063293457,6.350203514099121,6.220411777496338,0.5953848361968994,-0.01868380606174469
0.016136495396494865,2.6091322898864746,8.806300163269043,5.2582831382751465,9.418088912963867,3.762697696685791,-4.701872825622559
0.016639750450849533,6.991964817047119,8.152413368225098,9.074320793151855,6.8539347648620605,0.5080419182777405,-0.7286038994789124
0.016627168282866478,2.9981627464294434,5.414444446563721,7.364894866943359,3.874453544616699,0.2463855743408203,-1.2124704122543335
0.01673009805381298,3.7835536003112793,5.552670001983643,9.350857734680176,6.933418273925781,0.5178688764572144,-1.384047508239746
0.016903135925531387,2.4114773273468018,7.548203945159912,6.88405704498291,8.505441665649414,5.621347904205322,-4.357485771179199
0.016986114904284477,6.555482864379883,4.495805263519287,7.950663089752197,6.574793815612793,2.5052530765533447,-2.690122127532959
0.01643446646630764,6.405711650848389,9.199204444885254,9.2605619430542,7.136043071746826,4.0582685470581055,-5.328545570373535
0.01652108132839203,4.9485955238342285,6.131039619445801,8.296869277954102,5.385945796966553,0.3942902088165283,-0.45699018239974976
0.016155721619725227,4.496536731719971,6.601445198059082,5.0376296043396,7.978323936462402,1.6429648399353027,-3.8342435359954834
0.01651638001203537,6.024382591247559,4.483561038970947,7.713756084442139,8.933073043823242,2.7698514461517334,-2.724607229232788
0.016778243705630302,4.870400428771973,4.863624095916748,9.72132682800293,4.882413864135742,0.3750128149986267,-0.573425829410553
0.016294442117214203,4.100499629974365,7.726456642150879,9.14921760559082,6.855530738830566,0.492188960313797,-1.911908745765686
0.01678212359547615,1.3857358694076538,7.708043098449707,7.633275032043457,9.239341735839844,0.6733263731002808,-5.550437927246094
0.016679251566529274,8.277066230773926,6.384980201721191,9.894115447998047,8.247767448425293,0.6107614040374756,-0.7596139311790466
0.01642519235610962,8.008955955505371,5.9603166580200195,6.403692722320557,0.9706583023071289,0.013929369859397411,-1.5956732034683228
0.016256561502814293,6.350874900817871,7.944180488586426,9.596369743347168,8.6470947265625,4.416964054107666,-4.20019006729126
0.01673181727528572,3.9800424575805664,9.993372917175293,9.37506103515625,6.506964683532715,0.47109144926071167,-1.4233143329620361
0.016062144190073013,5.472909450531006,9.523804664611816,6.602468013763428,6.261876106262207,2.4506916999816895,-5.754538059234619
0.016411788761615753,1.3340373039245605,7.6200103759765625,8.957632064819336,8.40048599243164,8.702157020568848,-2.5207948684692383
0.016405660659074783,7.272621154785156,3.6371493339538574,8.890923500061035,5.46461296081543,2.933495044708252,-1.0583561658859253
0.01680472306907177,2.7700321674346924,4.404322147369385,8.632863998413086,3.5778658390045166,0.23103585839271545,-1.9463366270065308
0.016714878380298615,5.01289176940918,9.955631256103516,8.867090225219727,3.853102207183838,0.18981389701366425,-2.2125861644744873
0.016252581030130386,8.758828163146973,7.513329029083252,9.615716934204102,9.843003273010254,1.854105830192566,0.34576717019081116
0.016450507566332817,4.493773937225342,3.3121161460876465,7.47816276550293,9.853556632995605,4.094357967376709,-0.7338590025901794
0.01646595634520054,4.117056369781494,6.354782581329346,7.13551664352417,4.388798713684082,0.32450932264328003,-2.000459671020508
0.01616869680583477,4.844699859619141,7.212433815002441,8.811609268188477,6.309691429138184,5.237609386444092,-4.245508670806885
0.016698818653821945,8.653412818908691,4.879673480987549,9.87653636932373,9.313958168029785,2.2241883277893066,-3.212967872619629
0.016151731833815575,5.839081764221191,5.107692718505859,5.122010231018066,6.357217788696289,0.40318018198013306,-3.286501884460449
0.01678483560681343,6.7190399169921875,8.397162437438965,8.776810646057129,1.9072660207748413,4.389377593994141,-1.3730658292770386
0.016690636053681374,1.9074729681015015,4.461863994598389,3.6807384490966797,7.406383037567139,0.5945184826850891,-0.6670750975608826
0.01695924438536167,5.758090972900391,7.696929931640625,6.775246620178223,8.66370677947998,0.6334066390991211,-0.6612407565116882
0.016454782336950302,3.356372833251953,2.5330495834350586,8.142240524291992,5.07397985458374,0.3474416136741638,-1.1821684837341309
