t,raw
0.0,0.29144755
1.0,0.44621626
2.0,0.04818208
3.0,-0.04289604
4.0,-0.11333957
5.0,-0.036394805
6.0,-0.03211812
7.0,0.1170902
8.0,-0.008610506
9.0,0.010989031
10.0,-0.005469418
11.0,-0.5047713
12.0,-0.6363338
13.0,-0.4766267
14.0,-0.1914112
15.0,0.12430423
16.0,0.37713918
17.0,0.45075607
18.0,0.45502973
19.0,0.36535886
20.0,0.3478553
21.0,0.5266215
22.0,0.54290855
23.0,0.4790988
24.0,0.25790846
25.0,0.15566243
26.0,0.5214863
27.0,0.6168513
28.0,0.78974634
29.0,0.7488479
30.0,0.80286455
31.0,0.8409429
32.0,0.69320333
33.0,0.5231146
34.0,0.7335489
35.0,0.3859934
36.0,0.55823857
37.0,0.5001442
38.0,0.8183635
39.0,0.54374194
40.0,0.78653854
41.0,0.7742815
42.0,0.885393
43.0,1.1347574
44.0,1.2693527
45.0,1.3772966
46.0,1.550826
47.0,1.6049144
48.0,1.8829257
49.0,2.014112
50.0,1.9944406
51.0,1.8305936
52.0,2.1364849
53.0,1.9011527
54.0,1.9359963
55.0,1.9785296
56.0,1.9185632
57.0,1.7196537
58.0,1.5495173
59.0,1.4229565
60.0,1.3305229
61.0,1.154123
62.0,0.9134602
63.0,0.82871157
64.0,1.1575044
65.0,1.2208308
66.0,1.054424
67.0,1.1983483
68.0,1.0167149
69.0,0.6508365
70.0,0.70409566
71.0,0.45003036
72.0,0.24457872
73.0,-0.16687529
74.0,-0.49266043
75.0,-0.7669049
76.0,-0.95950884
77.0,-0.9630453
78.0,-0.91703755
79.0,-1.0669807
80.0,-1.1537157
81.0,-1.19702
82.0,-0.9547405
83.0,-0.6586225
84.0,-0.70461994
85.0,-0.6748817
86.0,-0.5602231
87.0,-0.120754294
88.0,-0.046967797
89.0,-0.051306363
90.0,-0.08372851
91.0,-0.12576234
92.0,-0.27701995
93.0,-0.037371024
94.0,0.2372844
95.0,0.24070519
96.0,0.13862644
97.0,0.2321604
98.0,0.00024192654
99.0,0.22817759
100.0,-0.01237824
101.0,0.34966916
102.0,0.2375973
103.0,-0.012832786
104.0,-0.1281812
105.0,-0.11327515
106.0,-0.17884816
107.0,-0.5917316
108.0,-0.5842991
109.0,-0.27965352
110.0,-0.29289797
111.0,-0.20310725
112.0,-0.3914661
113.0,-0.3568137
114.0,-0.2542572
115.0,-0.5958015
116.0,-0.8198205
117.0,-0.3361556
118.0,-0.21317922
119.0,0.2002619
120.0,0.55665904
121.0,0.6232609
122.0,0.5327184
123.0,0.63595104
124.0,0.7751142
125.0,0.6070694
126.0,0.5893451
127.0,0.14335069
128.0,0.0063427347
129.0,0.26352257
130.0,0.40580046
131.0,0.6785344
132.0,0.68424845
133.0,0.72887576
134.0,0.9145045
135.0,0.9162586
136.0,0.7274115
137.0,0.5236602
138.0,0.5802487
139.0,0.29616836
140.0,0.14747253
141.0,0.41386834
142.0,0.048092652
143.0,0.21267918
144.0,0.5148904
145.0,0.52630854
146.0,0.49053913
147.0,0.7121736
148.0,0.73984706
149.0,0.8575754
150.0,0.825321
151.0,0.90271837
152.0,0.6800737
153.0,0.5875356
154.0,0.60670114
155.0,0.5218332
156.0,0.017691294
157.0,0.34920967
158.0,0.5093363
159.0,0.530867
160.0,0.4860894
161.0,0.67987126
162.0,0.80820036
163.0,0.5276914
164.0,0.5393232
165.0,0.79876655
166.0,0.42485714
167.0,0.5115096
168.0,0.22582926
169.0,0.19681805
170.0,0.10803903
171.0,0.23147836
172.0,0.087040566
173.0,0.1565964
174.0,0.3920655
175.0,0.357074
176.0,0.2384536
177.0,0.23503242
178.0,0.37910688
179.0,0.54570496
180.0,0.6971279
181.0,0.59334815
182.0,0.22386523
183.0,0.34816802
184.0,0.34982905
185.0,0.8073642
186.0,0.7327134
187.0,0.8961896
188.0,0.5767246
189.0,0.89136463
190.0,1.3022958
191.0,1.2468255
192.0,1.0850471
193.0,0.7622325
194.0,0.8695435
195.0,0.76921797
196.0,0.8981349
197.0,0.99527234
198.0,1.4602551
199.0,1.3256956
200.0,1.496062
201.0,1.6086469
202.0,0.8857774
203.0,0.6185673
204.0,0.5780636
205.0,0.6986032
206.0,0.63964397
207.0,0.3900565
208.0,0.8844668
209.0,0.6145972
210.0,0.5133756
211.0,0.20408219
212.0,0.2319004
213.0,0.13338752
214.0,0.13836302
215.0,0.1833856
216.0,0.16118594
217.0,0.13847247
218.0,0.08495339
219.0,0.06152231
220.0,0.009736051
221.0,-0.37063536
222.0,-0.12973393
223.0,-0.17017949
224.0,-0.47673544
225.0,-0.40985328
226.0,-0.79953337
227.0,-1.21774
228.0,-0.94318795
229.0,-0.9806716
230.0,-0.97991985
231.0,-0.8347873
232.0,-0.8715443
233.0,-0.7851321
234.0,-0.93463707
235.0,-0.7183715
236.0,-0.7759089
237.0,-0.79491585
238.0,-0.5317691
239.0,-0.37241888
240.0,-0.5128824
241.0,-0.17586027
242.0,-0.20087612
243.0,-0.19170587
244.0,0.06173127
245.0,-0.08467533
246.0,-0.13858713
247.0,-0.17958614
248.0,-0.59559417
249.0,-0.3659119
250.0,0.02077424
251.0,-0.19217226
252.0,-0.005700634
253.0,-0.12373594
254.0,-0.048405632
255.0,0.019510487
256.0,-0.13706182
257.0,-0.32822853
258.0,-0.18244356
259.0,-0.214589
260.0,-0.2814945
261.0,-0.35647196
262.0,-0.29975823
263.0,-0.6278961
264.0,-0.6759236
265.0,-0.4690866
266.0,-0.3383564
267.0,-0.33755845
268.0,-0.8641083
269.0,-0.82004404
270.0,-0.92450666
271.0,-0.72112274
272.0,-0.7260201
273.0,-0.94323033
274.0,-0.6932081
275.0,-0.680791
276.0,-0.58850133
277.0,-0.24187334
278.0,0.07406018
279.0,0.19048119
280.0,0.043659683
281.0,0.040194403
282.0,-0.15354693
283.0,0.15946434
284.0,0.21833503
285.0,0.15861806
286.0,0.4766187
287.0,0.0831789
288.0,-0.08892459
289.0,-0.36292675
290.0,-0.3062435
291.0,-0.14065833
292.0,-0.14749713
293.0,-0.09592246
294.0,-0.22424646
295.0,-0.36654875
296.0,-0.28913075
297.0,-0.078608125
298.0,0.06475796
299.0,-0.31937897
300.0,-0.16067456
301.0,0.07764499
302.0,-0.16165012
303.0,0.09529267
304.0,0.22005346
305.0,-0.17173223
306.0,-0.18333201
307.0,-0.05106073
308.0,-0.24976343
309.0,0.13755026
310.0,0.003171179
311.0,0.34194604
312.0,0.18415318
313.0,-0.14103189
314.0,-0.29860225
315.0,-0.25806502
316.0,0.054439016
317.0,0.069742374
318.0,0.072843365
319.0,0.19878156
320.0,0.103216566
321.0,0.061325505
322.0,-0.07504004
323.0,0.0045417296
324.0,-0.32171154
325.0,-0.09332532
326.0,-0.14711335
327.0,0.035721827
328.0,0.22926067
329.0,0.35688016
330.0,0.579779
331.0,0.50866765
332.0,0.35763955
333.0,0.49378824
334.0,0.5497917
335.0,0.59247303
336.0,0.64998317
337.0,0.4957509
338.0,0.6308963
339.0,0.37904835
340.0,0.72345096
341.0,0.6650623
342.0,1.0947989
343.0,1.2518424
344.0,1.3238769
345.0,1.3273759
346.0,1.277833
347.0,1.0361662
348.0,0.99354786
349.0,1.0263613
350.0,1.0618234
351.0,1.2886777
352.0,1.318625
353.0,1.2629786
354.0,1.5620995
355.0,1.6949992
356.0,2.0480928
357.0,2.1458914
358.0,2.033626
359.0,2.1522138
360.0,2.2145169
361.0,1.9115967
362.0,1.9122826
363.0,1.9454396
364.0,1.7374778
365.0,1.732852
366.0,1.9091359
367.0,1.8202531
368.0,1.4467981
369.0,1.4554123
370.0,1.5556253
371.0,1.1971887
372.0,0.876912
373.0,0.24731983
374.0,-0.09272989
375.0,-0.5359475
376.0,-0.60730165
377.0,-0.73925537
378.0,-1.1039565
379.0,-1.1991142
380.0,-1.3548523
381.0,-1.4367784
382.0,-1.2392883
383.0,-0.835662
384.0,-1.1320022
385.0,-1.0888159
386.0,-1.286171
387.0,-0.9556075
388.0,-0.6308955
389.0,-0.5221241
390.0,-0.42417288
391.0,-0.7196919
392.0,-0.77516156
393.0,-0.77683157
394.0,-0.6940891
395.0,-1.0971253
396.0,-0.93934995
397.0,-0.9011817
398.0,-1.10109
399.0,-0.589586
400.0,-0.75606406
401.0,-0.65470684
402.0,-0.379525
403.0,-0.5333481
404.0,-0.45797127
405.0,-0.25436425
406.0,0.07249328
407.0,0.15619025
408.0,0.09824881
409.0,0.09416954
410.0,-0.2150813
411.0,-0.20301211
412.0,-0.14149863
413.0,-0.031246625
414.0,0.20033373
415.0,0.0037977002
416.0,0.17618173
417.0,-0.17013684
418.0,-0.26921895
419.0,-0.6049325
420.0,-0.45613205
421.0,-0.25360486
422.0,-0.20940645
423.0,-0.07811928
424.0,-0.05709256
425.0,0.037006155
426.0,0.24372086
427.0,0.16419129
428.0,0.14614527
429.0,-0.06633232
430.0,0.23727237
431.0,0.22721273
432.0,0.5855083
433.0,0.7544165
434.0,0.5079352
435.0,0.2583564
436.0,0.083042435
437.0,0.02509044
438.0,-0.36209008
439.0,-0.58082587
440.0,-0.3511326
441.0,-0.72313297
442.0,-0.84867543
443.0,-0.7366622
444.0,-0.6994901
445.0,-0.483859
446.0,-0.15031281
447.0,-0.2289919
448.0,-0.7952111
449.0,-0.8856817
450.0,-0.7269136
451.0,-0.66531074
452.0,-0.30259827
453.0,-0.2188377
454.0,0.332672
455.0,0.63324153
456.0,0.5874395
457.0,0.3782233
