tau,w_EE,w_EI,w_IE,beta,noise,theta_E,theta_I
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01642913930118084,0.06556454300880432,5.810606002807617,6.474427700042725,7.960668563842773,0.21383006870746613,0.6503003239631653,0.14723503589630127
0.016469387337565422,6.399583339691162,7.386559963226318,6.934925556182861,1.1707262992858887,0.11822506785392761,0.05969581380486488,-0.7760088443756104
0.01692087948322296,6.72791051864624,8.67192268371582,7.470342636108398,9.313658714294434,0.20324699580669403,1.2315354347229004,-7.500422954559326
0.016679218038916588,2.3731462955474854,7.368533134460449,8.765290260314941,4.664881229400635,0.0699763298034668,-0.48577797412872314,-9.040278434753418
0.016166793182492256,1.3809478282928467,5.816339015960693,3.905667781829834,1.450936198234558,0.26172128319740295,1.1864093542099,0.034136220812797546
0.01683732680976391,8.035755157470703,8.593377113342285,9.884804725646973,0.664768397808075,0.22590139508247375,0.7185915112495422,-1.5869327783584595
0.01628142222762108,3.043529987335205,7.286886215209961,8.190193176269531,2.012296438217163,0.28749141097068787,6.967889308929443,-2.843951463699341
0.01683332957327366,3.037818431854248,6.809770107269287,8.320762634277344,1.0162650346755981,0.2737874388694763,2.1708059310913086,0.12472434341907501
0.016368182376027107,5.574107646942139,6.669301509857178,7.81867790222168,0.7777674794197083,0.11812970787286758,3.416691303253174,-3.275975465774536
0.016476500779390335,9.312393188476562,9.755136489868164,9.529206275939941,1.6605448722839355,0.14862334728240967,3.2213377952575684,-0.9845746755599976
0.01677929237484932,2.6690118312835693,9.46442699432373,8.130620956420898,1.2175461053848267,0.22999460995197296,6.7354583740234375,1.59425950050354
0.01681525819003582,1.0923840999603271,5.00092077255249,3.2630481719970703,1.4081093072891235,0.2966196537017822,0.8201169371604919,0.09351050853729248
0.01673629879951477,1.9896373748779297,3.3427484035491943,9.942923545837402,1.349094271659851,0.1610538214445114,6.901674747467041,1.2693495750427246
0.016374247148633003,5.7352190017700195,8.057037353515625,4.003405570983887,1.6706007719039917,0.048363134264945984,0.1524457037448883,-0.23939074575901031
0.016278952360153198,1.4727777242660522,6.139945030212402,8.738139152526855,4.627836227416992,0.1803956925868988,8.540661811828613,-2.0797884464263916
0.016775531694293022,6.903774738311768,8.956624031066895,8.927716255187988,0.538629412651062,0.03534658998250961,1.3548825979232788,-4.470823287963867
0.01645531691610813,4.19370174407959,8.844612121582031,4.552775859832764,0.7505674362182617,0.20895840227603912,0.5067873001098633,-4.885886192321777
0.016444485634565353,6.988780498504639,4.310060977935791,5.857217311859131,3.0832018852233887,0.20261946320533752,-0.3531050384044647,-2.6367745399475098
0.01611373946070671,1.9199100732803345,5.001562595367432,8.784930229187012,0.6843459010124207,0.17977499961853027,5.3632636070251465,-1.976592779159546
0.01661907695233822,0.4924977719783783,9.851043701171875,7.737974643707275,0.37572023272514343,0.28113916516304016,2.081632614135742,-0.7367150783538818
0.016396179795265198,1.798436164855957,9.357743263244629,2.4046690464019775,2.782787561416626,0.05007854476571083,0.1900361031293869,-2.857306718826294
0.016566887497901917,1.8522069454193115,9.597683906555176,2.9779036045074463,0.9846471548080444,0.11969002336263657,1.2080720663070679,-2.739077091217041
0.01627306267619133,7.288634777069092,4.643613338470459,7.969817161560059,4.959188461303711,0.17085112631320953,1.1963871717453003,0.5749381184577942
0.016218189150094986,1.9407153129577637,5.972316265106201,9.462813377380371,5.534285068511963,0.26255401968955994,0.5227249264717102,-0.5081684589385986
0.01601153053343296,2.3626725673675537,4.615051746368408,7.955228805541992,0.6991203427314758,0.18078184127807617,2.6307599544525146,-0.018168330192565918
0.016226494684815407,1.6465917825698853,7.945784568786621,8.886384010314941,0.8869723081588745,0.16661910712718964,1.656267523765564,-6.634942054748535
0.016738951206207275,4.266282558441162,6.242179870605469,8.960972785949707,1.3933634757995605,0.18007248640060425,1.598538875579834,0.28129398822784424
0.016853714361786842,2.485038995742798,8.109331130981445,2.5211915969848633,1.1187344789505005,0.2826521694660187,1.0409780740737915,-4.981122970581055
0.01628793589770794,5.530636310577393,9.304192543029785,7.152974605560303,0.5272859930992126,0.21071098744869232,1.1339893341064453,-5.734193801879883
0.01610766164958477,1.635642170906067,7.492385387420654,6.619547367095947,2.8824000358581543,0.2719152867794037,6.408818244934082,1.094285249710083
0.016193730756640434,0.26272982358932495,2.442079544067383,8.749147415161133,6.467401504516602,0.012790055014193058,0.7784390449523926,-0.1746169477701187
0.016862452030181885,9.449102401733398,5.199989318847656,7.109155654907227,1.5446933507919312,0.1132802814245224,-0.0622221864759922,0.08918645232915878
0.016441378742456436,3.3628432750701904,4.746584892272949,8.364151954650879,0.8921449184417725,0.253449022769928,3.4131908416748047,-2.636721611022949
0.016046877950429916,5.031914234161377,8.339192390441895,3.9348220825195312,1.2078087329864502,0.16746197640895844,1.334122657775879,0.5950905680656433
