x,y
1,2.106769
2,2.3653123
3,2.3700213
4,2.5061405
5,2.5080354
6,2.611939
7,2.6036642
8,2.695149
9,2.7019532
10,2.778719
11,2.770894
12,2.8342977
13,2.846865
14,2.9166281
15,2.9014874
16,2.9474018
17,2.944705
18,2.990239
19,2.9893994
20,3.0406754
21,3.02739
22,3.0693204
23,3.0798316
24,3.1222227
25,3.1172752
26,-3.1237593
27,-3.1333487
28,-3.1056104
29,-3.1042867
30,-3.079777
31,-3.0960069
32,-3.0625408
33,-3.06397
34,-3.030921
35,-3.033809
36,-3.0042324
37,-3.0043676
38,-2.9750333
39,-2.964567
40,-2.9341083
41,-2.9393365
42,-2.9139352
43,-2.904115
44,-2.8701007
45,-2.8655486
46,-2.852598
47,-2.856154
48,-2.8196585
49,-2.7937593
50,-2.7769608
51,-2.775457
52,-2.75551
53,-2.7613409
54,-2.7371516
55,-2.7405288
56,-2.691687
57,-2.6786942
58,-2.6597297
59,-2.641726
60,-2.6237042
61,-2.6132228
62,-2.5746274
63,-2.5643716
64,-2.513149
65,-2.511198
66,-2.4521105
67,-2.466863
68,-2.4366279
69,-2.4133492
70,-2.388369
71,-2.3675275
72,-2.3377259
73,-2.3286166
74,-2.3148355
75,-2.2924297
76,-2.2812648
77,-2.255496
78,-2.2662313
79,-2.2519174
80,-2.2147639
81,-2.1789582
82,-2.1354508
83,-2.1008568
84,-2.0891063
85,-2.076816
86,-2.0587845
87,-2.0390148
88,-2.0208583
89,-1.966319
90,-1.927376
91,-1.8857621
92,-1.8581337
93,-1.8274163
94,-1.8131591
95,-1.772207
96,-1.7352915
97,-1.7127203
98,-1.6794723
99,-1.6720723
100,-1.6214896
101,-1.583712
102,-1.5354805
103,-1.5416442
104,-1.5198455
105,-1.451215
106,-1.3890347
107,-1.3451495
108,-1.2847934
109,-1.2433603
110,-1.2203935
111,-1.1621276
112,-1.1077639
113,-1.0604758
114,-1.0533055
115,-1.0449406
116,-1.0089743
117,-0.94484043
118,-0.84910977
119,-0.8115097
120,-0.79005265
121,-0.72476137
122,-0.69253695
123,-0.67314327
124,-0.60830986
125,-0.5861178
126,-0.5682965
127,-0.4704261
128,-0.4417493
129,-0.44959942
130,-0.45416543
131,-0.41257674
132,-0.48019892
133,-0.5828323
134,-0.58707476
135,-0.6607523
136,-0.81315076
137,-0.78845817
138,-0.8553268
139,-0.78841734
140,-0.7412159
141,-0.9168858
142,-1.2484359
143,-1.7020683
144,-1.846359
145,-1.7032721
146,-1.7146733
147,-1.600315
148,-1.5750487
149,-1.5084039
150,-1.4658046
151,-1.4526813
152,-1.4359452
153,-1.2973353
154,-1.2254093
155,-1.1886251
156,-1.0350149
157,-0.9811514
158,-1.0691123
159,-0.9993157
160,-0.8880725
161,-0.84862494
162,-0.7006514
163,-0.6475707
164,-1.0118604
165,-1.168006
166,-1.2054584
167,-1.088074
168,-1.1725756
169,-1.3518717
170,-1.2153316
171,-1.0149986
172,-0.9521798
173,-0.88008004
174,-0.843285
175,-0.62713563
176,-0.69647527
177,-0.54907197
178,-0.5975255
179,-0.6659293
180,-0.53767616
181,-0.31185192
182,-0.630491
183,-0.375022
184,-0.108830005
185,0.26853156
186,0.44222564
187,0.8577472
188,1.2251506
189,1.0239073
190,1.5646368
191,1.7918302
192,1.8813962
193,1.8943869
194,2.3038282
195,2.4832811
196,2.7927847
197,2.7871468
198,2.8440237
199,-3.1039317
200,-3.1372638
201,-2.919347
202,-2.8720515
203,-2.8270233
204,-2.5583599
205,-2.7386875
206,-2.819549
207,-2.704016
208,-2.88642
209,-2.943502
210,-2.7509027
211,-2.657283
212,-2.5351357
213,-2.686679
214,-2.4847903
215,-2.3074703
216,-2.1970296
217,-2.045308
218,-2.1797261
219,-2.0539486
