Frequency,PLV
6,0.051506261472581916
7,0.05649503868714301
8,0.06479759623936951
9,0.0735120944180026
10,0.0796181019813823
11,0.08132214718226181
12,0.0787761134472613
13,0.07396254166613986
14,0.07008041816964744
15,0.07025996946242699
16,0.07552833948786739
17,0.08350217848817577
18,0.08963709426575729
19,0.09045214406513
20,0.08599712049220434
21,0.07966376861653736
22,0.07572176799731566
23,0.07631535140677648
24,0.07988342376690058
25,0.08225006342318268
26,0.07975897886033435
27,0.07206419814917807
28,0.06249966629307917
29,0.055974765340106786
