Frequency,PLV
6,0.3506991217859324
7,0.3543027412617778
8,0.3599413175949127
9,0.3653715990054336
10,0.36848088986595084
11,0.3672842315434302
12,0.3595413359951826
13,0.34299420185022444
14,0.3165276504351967
15,0.28140689793489204
16,0.24143030875627347
17,0.20168574885936816
18,0.16674301969260322
19,0.1394279597747522
20,0.12059962287099
21,0.10949305898836592
22,0.10411032799515951
23,0.10167225382829921
24,0.09939258782987058
25,0.09545222926624045
26,0.08960630298151737
27,0.0829949204456451
28,0.07733946332509889
29,0.07411622165862447
