Frequency,PLV
6,0.23670118430343762
7,0.23103032911697904
8,0.21652343388237608
9,0.19594877636203661
10,0.17998752348546243
11,0.17740489102077442
12,0.186674841782372
13,0.19958598797038954
14,0.2097961905130111
15,0.2141936696153147
16,0.21005841854660015
17,0.196351687679708
18,0.17554576388980808
19,0.1522174144135703
20,0.13288238315121412
21,0.12524660313046018
22,0.13100683827695128
23,0.14027521098248777
24,0.13928573733773106
25,0.12379940597219238
26,0.10181816317517009
27,0.08470484260232518
28,0.07759551740492505
29,0.07698458250790687
