Frequency,PLV
6,0.3163307900653278
7,0.33362072658887576
8,0.3511525598544145
9,0.34700705512081936
10,0.3103045298932416
11,0.24891366057719855
12,0.18297801570331151
13,0.1306659471618052
14,0.09870451433704257
15,0.08375838335345445
16,0.0800143218851107
17,0.08409746707880986
18,0.09376785477488667
19,0.10489688205608766
20,0.1118544829702254
21,0.11101779124904981
22,0.10378878323418309
23,0.0956750202846899
24,0.09117866136906445
25,0.08982487106324494
26,0.08860012960957975
27,0.08696003803889943
28,0.0865673480384522
29,0.08730363171949837
