Frequency,PLV
6,0.3465910930047357
7,0.34609752734960675
8,0.3443601876752216
9,0.34003492418869746
10,0.33151455325996976
11,0.317419938247095
12,0.29714728255253353
13,0.27127644148110514
14,0.24163391175001644
15,0.21091721563762914
16,0.1819844763755605
17,0.15708423743736916
18,0.1373378623306356
19,0.12266010350286193
20,0.11208545878228933
21,0.10428847597720578
22,0.09804550097214429
23,0.09248733297406128
24,0.0871467959641476
25,0.08190124111548919
26,0.07690078054044241
27,0.07250224399097789
28,0.06917766179435074
29,0.0673772706414715
