Frequency,PSD
6.0,0.46451652536222354
6.08,0.4645464672720579
6.16,0.46460878806051453
6.24,0.4647083043026401
6.32,0.46485209130221833
6.4,0.4650492878602349
6.48,0.46531081386621925
6.5600000000000005,0.4656489894169999
6.640000000000001,0.46607704945010126
6.72,0.4666085565343494
6.8,0.4672567255096977
6.88,0.46803368565399356
6.96,0.4689497172303763
7.04,0.4700125078425663
7.12,0.4712264784179749
7.2,0.47259222773098675
7.28,0.4741061377051273
7.36,0.47576016959573464
7.44,0.47754186463980386
7.5200000000000005,0.4794345436427343
7.6000000000000005,0.48141768052487943
7.68,0.48346740756783024
7.76,0.4855570973740375
7.84,0.487657960345906
7.92,0.4897395980406916
8.0,0.49177046236692323
8.08,0.49371818751817387
8.16,0.49554978404128197
8.24,0.49723170991091187
8.32,0.4987298587673392
8.4,0.5000095272108108
8.48,0.5010354380933326
8.56,0.5017719025906684
8.64,0.5021831989257621
8.72,0.5022342296093679
8.8,0.5018914929308337
8.88,0.5011243703897843
8.96,0.49990669307082825
9.040000000000001,0.4982185106016831
9.120000000000001,0.49604795056020107
9.200000000000001,0.49339302809104096
9.28,0.49026324851648817
9.36,0.4866808423290653
9.44,0.48268148330535954
9.52,0.47831436633144375
9.6,0.4736415602233376
9.68,0.46873659945101126
9.76,0.46368233334472686
9.84,0.4585681075805281
9.92,0.45348640581406596
10.0,0.4485291247913803
10.08,0.44378369025935294
10.16,0.43932924061260925
10.24,0.4352331087024237
10.32,0.4315478191474408
10.4,0.42830878968896813
10.48,0.42553288271169387
10.56,0.4232179001303121
10.64,0.42134305533015304
10.72,0.41987039411684074
10.8,0.41874707716673626
10.88,0.41790838353534143
10.96,0.4172812520730654
11.040000000000001,0.4167881479720682
11.120000000000001,0.41635102692438697
11.200000000000001,0.41589517013142613
11.28,0.4153526790869478
11.36,0.4146654479564876
11.44,0.4137874708478221
11.52,0.4126863879760837
11.6,0.411344224968053
11.68,0.4097573295831354
11.76,0.4079355565035441
11.84,0.40590079068067114
11.92,0.4036849309056647
12.0,0.4013274765644701
12.08,0.3988728715910839
12.16,0.39636776089707276
12.24,0.39385830712025066
12.32,0.39138770092505426
12.4,0.38899397804178326
12.48,0.3867082325073713
12.56,0.38455328978208525
12.64,0.3825428769436731
12.72,0.38068130111412024
12.8,0.37896362252251603
12.88,0.3773762858397634
12.96,0.3758981532272229
13.040000000000001,0.37450186548455194
13.120000000000001,0.3731554443394924
13.200000000000001,0.37182403988645424
13.280000000000001,0.37047172301317705
13.36,0.3690632238030999
13.44,0.36756552359343275
13.52,0.3659492205083247
13.6,0.364189605369288
13.68,0.36226740596297247
13.76,0.3601691813477569
13.84,0.3578873724937588
13.92,0.3554200391652853
14.0,0.35277033364400223
14.08,0.3499457779148927
14.16,0.34695742093545556
14.24,0.3438189557623621
14.32,0.3405458724438136
14.4,0.33715471220109017
14.48,0.3336624726509261
14.56,0.3300861943063319
14.64,0.32644273731982804
14.72,0.3227487365082437
14.8,0.31902070413423766
14.88,0.3152752354261057
14.96,0.3115292626350796
15.040000000000001,0.3078003002215774
15.120000000000001,0.30410662657322446
15.200000000000001,0.3004673559405144
15.280000000000001,0.2969023669792526
15.36,0.29343206999194554
15.44,0.2900770120367999
15.52,0.28685733586271045
15.6,0.28379212359802974
15.68,0.2808986679976819
15.76,0.27819172192272396
15.84,0.2756827800859313
15.92,0.27337944586572954
16.0,0.27128493048240004
16.080000000000002,0.269397722693114
16.16,0.2677114552973339
16.240000000000002,0.26621498121180304
16.32,0.2648926577968057
16.4,0.26372482458359936
16.48,0.26268844754482334
16.56,0.2617578933639608
16.64,0.26090579036876144
16.72,0.26010392921613507
16.8,0.25932415611364923
16.88,0.25853921415368725
16.96,0.2577234938291455
17.04,0.2568536614400604
17.12,0.2559091432280135
17.2,0.25487245298141725
17.28,0.2537293608410428
17.36,0.2524689104605966
17.44,0.2510832999960828
17.52,0.2495676491827953
17.6,0.24791967971127132
17.68,0.2461393390618921
17.76,0.24422839884907896
17.84,0.2421900576134688
17.92,0.24002857503140956
18.0,0.23774895991718398
18.080000000000002,0.23535672848345407
18.16,0.232857742480138
18.240000000000002,0.23025812949638733
18.32,0.2275642803815921
18.400000000000002,0.22478291194736225
18.48,0.2219211773807231
18.56,0.2189868026152712
18.64,0.2159882246684733
18.72,0.21293470791857722
18.8,0.20983641654242746
18.88,0.2067044257359984
18.96,0.20355066054621104
19.04,0.20038775860942884
19.12,0.19722886111535418
19.2,0.19408734409907077
19.28,0.1909765089017776
19.36,0.18790925560249525
19.44,0.18489776583983225
19.52,0.18195322137639447
19.6,0.17908558194587615
19.68,0.17630344059269024
19.76,0.17361396736802548
19.84,0.17102294361144854
19.92,0.16853488000120537
20.0,0.16615320303589165
20.080000000000002,0.16388048751187018
20.16,0.16171870764652152
20.240000000000002,0.15966947731276618
20.32,0.15773425066641408
20.400000000000002,0.15591445823106537
20.48,0.15421155991846983
20.56,0.15262700489704706
20.64,0.15116209785786971
20.72,0.14981778111567753
20.8,0.14859435113665487
20.88,0.147491135581936
20.96,0.14650616202930092
21.04,0.1456358516525788
21.12,0.14487477005576108
21.2,0.14421546324998347
21.28,0.1436483998114493
21.36,0.1431620312276643
21.44,0.1427429721998104
21.52,0.14237629221690476
21.6,0.14204590007314372
21.68,0.14173499510479112
21.76,0.1414265535430548
21.84,0.14110381602630148
21.92,0.14075074319338993
22.0,0.14035241026619244
22.080000000000002,0.13989531818439646
22.16,0.1393676074703453
22.240000000000002,0.1387591706711188
22.32,0.13806166894288685
22.400000000000002,0.13726846710633372
