Frequency,PLV
6,0.22141619165820073
7,0.24426534867283836
8,0.2873289731905302
9,0.3404658755699554
10,0.38461956174607553
11,0.3994502707117622
12,0.3758657221260444
13,0.3229038513115842
14,0.2621253885096178
15,0.21424100505059232
16,0.1890244247537128
17,0.18400853259006303
18,0.18941128305075447
19,0.1943367529652414
20,0.19100843606729584
21,0.17638277989418882
22,0.15199975425720375
23,0.1230093051464006
24,0.09662587948656784
25,0.07932127413644476
26,0.07312390612731216
27,0.07437770815785542
28,0.07733969023420521
29,0.07890234527729742
