x,y
1,2.2039323
2,2.440176
3,2.426405
4,2.5536292
5,2.5615778
6,2.6397128
7,2.6401806
8,2.7002623
9,2.7137527
10,2.7803533
11,2.7708604
12,2.8183258
13,2.8190765
14,2.854206
15,2.8626099
16,2.9185407
17,2.920503
18,2.9598908
19,2.9473505
20,2.981312
21,2.9866133
22,3.0179033
23,3.001092
24,3.044349
25,3.0398998
26,3.0654683
27,3.0782802
28,3.105958
29,3.0930207
30,3.124646
31,3.1223257
32,-3.1398535
33,-3.1326852
34,-3.0974424
35,-3.0724673
36,-3.058362
37,-3.0649595
38,-3.0694382
39,-3.0545902
40,-3.0241518
41,-3.035418
42,-3.0294762
43,-3.020966
44,-3.0022943
45,-3.0001225
46,-2.9748135
47,-2.9796863
48,-2.9626312
49,-2.9891455
50,-2.962032
51,-2.9694111
52,-2.9345713
53,-2.9519186
54,-2.913814
55,-2.9308424
56,-2.89552
57,-2.9007792
58,-2.890503
59,-2.8844724
60,-2.8438542
61,-2.8313527
62,-2.8071437
63,-2.8101227
64,-2.786122
65,-2.762805
66,-2.7415676
67,-2.711911
68,-2.6863234
69,-2.6851468
70,-2.6730046
71,-2.6709907
72,-2.6409287
73,-2.6385274
74,-2.629686
75,-2.6047266
76,-2.604648
77,-2.602937
78,-2.5693302
79,-2.5604358
80,-2.5364678
81,-2.5275443
82,-2.531023
83,-2.5332432
84,-2.5342245
85,-2.5449271
86,-2.5586493
87,-2.5653946
88,-2.5478396
89,-2.5527918
90,-2.5483828
91,-2.5851316
92,-2.5887666
93,-2.5987644
94,-2.5983968
95,-2.5908477
96,-2.57786
97,-2.5720859
98,-2.5914998
99,-2.5478501
100,-2.5349982
101,-2.5366008
102,-2.5269024
103,-2.5212214
104,-2.523562
105,-2.5256605
106,-2.4877691
107,-2.4691415
108,-2.4575336
109,-2.4636188
110,-2.459583
111,-2.4378111
112,-2.415499
113,-2.4206748
114,-2.4034839
115,-2.3733094
116,-2.3438597
117,-2.327198
118,-2.3039746
119,-2.2894826
120,-2.2264106
121,-2.2197962
122,-2.2067292
123,-2.1739461
124,-2.151946
125,-2.1314864
126,-2.137753
127,-2.1177473
128,-2.0750175
129,-2.0582418
130,-2.0380416
131,-2.0358787
132,-2.0143037
133,-1.9831629
134,-1.9691606
135,-1.9247183
136,-1.9326887
137,-1.902904
138,-1.8935299
139,-1.8452072
140,-1.8184606
141,-1.7978648
142,-1.7539982
143,-1.7027004
144,-1.6771437
145,-1.6479306
146,-1.621006
147,-1.57386
148,-1.5386482
149,-1.5170214
150,-1.4649526
151,-1.4089544
152,-1.3759832
153,-1.3389608
154,-1.275255
155,-1.2220318
156,-1.162658
157,-1.1352803
158,-1.0583297
159,-0.97811586
160,-0.93768364
161,-0.8962345
162,-0.8546821
163,-0.7980744
164,-0.7321577
165,-0.680764
166,-0.6859244
167,-0.61157054
168,-0.56557184
169,-0.5258075
170,-0.46308902
171,-0.46903694
172,-0.47873154
173,-0.4060167
174,-0.27745733
175,-0.12791805
176,-0.4328675
177,2.2029204
178,2.94734
179,3.1234612
180,-3.1003911
181,-2.9673193
182,-2.8705907
183,-2.8076768
184,-2.8096507
185,-2.8456905
186,-2.8798695
187,-2.825731
188,-2.807133
189,-2.7921984
190,-2.7714033
191,-2.7639613
192,-2.696896
193,-2.720246
194,-2.6543198
195,-2.5975878
196,-2.5898356
197,-2.5531592
198,-2.5097775
199,-2.4653664
200,-2.3966541
201,-2.4175515
202,-2.4055
203,-2.3437438
204,-2.3571136
205,-2.3346593
206,-2.301778
207,-2.2790782
208,-2.2464247
209,-2.1934478
210,-2.1944273
211,-2.2065191
212,-2.1868818
213,-2.1650038
214,-2.1301284
215,-2.1290932
